no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets
2,0,0,9600000,29900000,12,778,8000000,0,42700000
0,1,1,4100000,12200000,8,417,3300000,1,13700000
3,0,0,9100000,29700000,20,506,12800000,1,44900000
3,0,0,8200000,30700000,8,467,7900000,1,44800000
5,1,1,9800000,24200000,20,382,5000000,1,50000000
0,0,1,4800000,13500000,10,319,5100000,1,28800000
5,0,0,8700000,33000000,4,678,4300000,0,66500000
2,0,1,5700000,15000000,20,382,6000000,1,30700000
0,0,1,800000,2200000,20,782,600000,0,4900000
5,1,0,1100000,4300000,10,388,1600000,1,7900000
4,0,1,2900000,11200000,2,547,3100000,0,22300000
2,1,1,6700000,22700000,18,538,6400000,1,41500000
3,1,1,5000000,11600000,16,311,4300000,1,30600000
2,0,1,9100000,31500000,14,679,5000000,0,48300000
1,1,0,1900000,7400000,6,469,1900000,1,9000000
5,1,0,4700000,10700000,10,794,4400000,0,26000000
2,0,1,500000,1600000,4,663,700000,0,2700000
4,1,1,2900000,9400000,14,780,4300000,0,12400000
2,0,0,2700000,10300000,10,736,3300000,0,7200000
5,0,0,6300000,14600000,12,652,5900000,0,37300000
2,0,0,5000000,19400000,12,315,6100000,1,29100000
4,0,0,5800000,14000000,16,530,5400000,1,37300000
4,0,1,6500000,25700000,18,311,8500000,1,34300000
0,1,1,500000,1400000,2,551,300000,0,2600000
0,1,0,4900000,9800000,16,324,3300000,1,22500000
5,1,0,3100000,9500000,20,514,2600000,1,17600000
4,0,0,8200000,28100000,12,696,7200000,0,47400000
4,1,1,2400000,5600000,4,662,2500000,0,14100000
5,1,1,7000000,24000000,6,336,9700000,1,41700000
3,1,1,9000000,31500000,10,850,8000000,0,67900000
2,1,0,9800000,25300000,12,313,9300000,1,50900000
2,0,0,5700000,12000000,6,363,4300000,1,32700000
1,1,1,800000,1600000,10,436,1000000,1,3100000
5,1,1,8400000,22000000,2,830,5400000,0,27600000
3,0,0,4900000,11900000,8,612,5800000,0,29900000
2,0,1,1700000,3400000,8,691,900000,0,11500000
3,1,0,1600000,6200000,18,636,1400000,0,9400000
5,0,1,8000000,27200000,6,348,7100000,1,23400000
5,0,0,3600000,7700000,16,830,2900000,0,18300000
